                       BREADTH                          BEST
     LEVEL    STATES     STEPS      TIME    STATES     STEPS      TIME
         1        85         7  0.364784         9         7  0.030921
         2       626        17  4.001801        39        18  0.234008
         3       174        19  1.017660        53        30  0.295771
         4        99        28  0.767609        86        39  0.667746
         5       319        34  3.004039       218        34  2.097719
         6       204        35  1.903143        87        40  0.797318
         7       271        45  2.059118       186        59  1.439258
         8       108        11  0.804974        14        11  0.097244
         9       199        24  0.988126      1013        42  6.504065
        10      2219        57 25.675459      2336        58 29.210992
        11        89        47  0.663864        80        47  0.594306
        12       556        60  4.621071       355        66  3.197525
        13       235        46  2.089602        87        48  0.861721
        14       618        67  6.195528       497        72  4.762022
        15       490        64  4.697059       609        84  6.396405
        16       342        40  2.486777       112        38  0.782922
        17      1379       106 13.461841       602       109  6.308826
        18       364        92  3.119700       225        90  1.987327
        19       296        67  2.784403       143        67  1.365066
        20       347        61  3.297470        -1         0  5.288675
        21       395        71  3.688629       139        71  1.308178
        22       610        77  5.528395       316        81  2.938045
        23      2066        75 21.485762      7268       128188.748724
        24       150        57  1.059802       251        82  1.883834
        25       295        55  2.579664       234        55  2.116209
        26       956       110  7.884975        -1         0 81.945954
        27       403        71  3.786444       254        71  2.452091
        28      1102       100 11.846934       381       110  3.914258
        29       947       110  9.162414      2156       127 29.427016
        30      1077       114 12.366911       481       114  4.905965
        31       759        86  7.407298       770        92  8.368521
        32      1051       129  8.959373       625       129  5.585566
        33       362        65  3.691957       277        80  2.869231
